id,transaction_id,bill_no,bill_date,bill_location,customer_id,product_id,qty,uom,price,gross_price,tax_pc,tax_amt,discount_pc,discount_amt,net_bill_amt,created_by,updated_by,created_date,updated_date
33,117,117,10/20/2017 18:00,Pokhara,4,2,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,Swastika pradhan,10/20/2017 18:00,10/20/2017 18:00
34,117,117,10/20/2017 18:00,Pokhara,4,3,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,Swastika pradhan,10/20/2017 18:00,10/20/2017 18:00
35,117,117,10/20/2017 18:00,Pokhara,4,5,16,CD,16.0303,256.485,0,33.343,0,0,289.828,Swastika pradhan,Swastika pradhan,10/20/2017 18:00,10/20/2017 18:00
36,118,118,10/20/2017 18:00,Pokhara,4,2,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,Swastika pradhan,10/20/2017 18:00,10/20/2017 18:00
37,118,118,10/20/2017 18:00,Pokhara,4,3,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,Swastika pradhan,10/20/2017 18:00,10/20/2017 18:00
457,1384,1384,12/20/2017 15:00,Pokhara,4,2,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,,12/20/2017 15:00,12/20/2017 15:00
458,1384,1384,12/20/2017 15:00,Pokhara,4,3,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,,12/20/2017 15:00,12/20/2017 15:00
459,1384,1384,12/20/2017 15:00,Pokhara,4,5,16,CD,16.0303,256.485,0,33.343,0,0,289.828,Swastika pradhan,,12/20/2017 15:00,12/20/2017 15:00
460,1385,1385,12/20/2017 15:00,Pokhara,4,2,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,,12/20/2017 15:00,12/20/2017 15:00
461,1385,1385,12/20/2017 15:00,Pokhara,4,3,8,CD,16.0303,128.242,0,16.6715,0,0,144.914,Swastika pradhan,,12/20/2017 15:00,12/20/2017 15:00
462,1385,1385,12/20/2017 15:00,Pokhara,4,5,16,CD,16.0303,256.485,0,33.343,0,0,289.828,Swastika pradhan,,12/20/2017 15:00,12/20/2017 15:00
463,1388,1388,3/7/2017 17:00,Pokhara,4,20,3,CD,171.696,515.089,0,66.9616,0,0,582.05,Laxman Poudel,Laxman Poudel,3/7/2017 17:00,3/7/2017 17:00
464,1393,1393,3/7/2017 17:00,Pokhara,4,2,4,CD,16.0303,64.1212,0,8.33575,0,0,72.4569,Laxman Poudel,Laxman Poudel,3/7/2017 17:00,3/7/2017 17:00
465,1393,1393,4/1/2017 14:00,Pokhara,4,3,4,CD,16.0303,64.1212,0,8.33575,0,0,72.4569,Swastika pradhan,,4/1/2017 14:00,
